station_name,type,lat,lng,Region
Jurong East,MRT,1.333207,103.742308,West
Bukit Batok,MRT,1.349069,103.749596,West
Bukit Gombak,MRT,1.359043,103.751863,West
Choa Chu Kang,MRT,1.385417,103.744316,West
Yew Tee,MRT,1.397383,103.747523,West
Kranji,MRT,1.425302,103.762049,North
Marsiling,MRT,1.432579,103.77415,North
Woodlands,MRT,1.436984,103.786406,North
Admiralty,MRT,1.436984,103.786406,North
Sembawang,MRT,1.449133,103.82006,North
Yishun,MRT,1.429666,103.835044,North
Khatib,MRT,1.417423,103.832995,North
Yio Chu Kang,MRT,1.381765,103.844923,North
Ang Mo Kio,MRT,1.370025,103.849588,North
Bishan,MRT,1.35092,103.848206,North
Braddell,MRT,1.34055,103.847098,North
Toa Payoh,MRT,1.332405,103.847436,North
Novena,MRT,1.320089,103.843405,North
Newton,MRT,1.31383,103.838021,South
Orchard,MRT,1.304041,103.831792,South
Somerset,MRT,1.300508,103.838428,South
Dhoby Ghaut,MRT,1.299169,103.845799,South
City Hall,MRT,1.293119,103.852089,South
Raffles Place,MRT,1.284001,103.85155,South
Marina Bay,MRT,1.276481,103.854598,South
Marina South Pier,MRT,1.271422,103.863581,South
Tuas Link,MRT,1.340371,103.636866,West
Tuas West Road,MRT,1.330075,103.639636,West
Tuas Crescent,MRT,1.321091,103.649075,West
Gul Circle,MRT,1.319809,103.66083,West
Joo Koon,MRT,1.327826,103.678318,West
Pioneer,MRT,1.337645,103.69742,West
Boon Lay,MRT,1.33862,103.705817,West
Lakeside,MRT,1.344264,103.720797,West
Chinese Garden,MRT,1.342436,103.732582,West
Clementi,MRT,1.314925,103.765341,West
Dover,MRT,1.311414,103.778596,West
Buona Vista,MRT,1.307337,103.790046,West
Commonwealth,MRT,1.302439,103.798326,South
Queenstown,MRT,1.294867,103.805902,South
Redhill,MRT,1.289674,103.816787,South
Tiong Bahru,MRT,1.286555,103.826956,West
Outram Park,MRT,1.280319,103.839459,South
Tanjong Pagar,MRT,1.276385,103.846771,South
Bugis,MRT,1.300747,103.855873,South
Lavender,MRT,1.307577,103.863155,South
Kallang,MRT,1.311532,103.871372,East
Aljunied,MRT,1.316474,103.882762,East
Paya Lebar,MRT,1.318214,103.893133,East
Eunos,MRT,1.319809,103.902888,East
Kembangan,MRT,1.320998,103.913433,East
Bedok,MRT,1.324043,103.930205,East
Tanah Merah,MRT,1.327309,103.946479,East
Simei,MRT,1.343237,103.953343,East
Tampines,MRT,1.354467,103.943325,East
Pasir Ris,MRT,1.373234,103.949343,East
Expo,MRT,1.334479,103.961459,East
Changi Airport,MRT,1.357622,103.988487,East
HarbourFront,MRT,1.265453,103.820514,South
Chinatown,MRT,1.284566,103.843626,South
Clarke Quay,MRT,1.288949,103.847521,South
Little India,MRT,1.306691,103.849396,South
Farrer Park,MRT,1.312679,103.854872,South
Boon Keng,MRT,1.320091,103.861655,South
Potong Pasir,MRT,1.331316,103.868779,North
Woodleigh,MRT,1.339202,103.870727,North
Serangoon,MRT,1.349862,103.873635,East
Kovan,MRT,1.360207,103.885163,East
Hougang,MRT,1.371406,103.892533,East
Buangkok,MRT,1.382991,103.893347,East
Sengkang,MRT,1.391682,103.895475,East
Punggol,MRT,1.405191,103.902367,East
Bras Basah,MRT,1.296978,103.850715,South
Esplanade,MRT,1.293995,103.855396,South
Promenade,MRT,1.294063,103.860156,South
Nicoll Highway,MRT,1.300292,103.863449,South
Stadium,MRT,1.302847,103.875417,South
Mountbatten,MRT,1.306106,103.883175,South
Dakota,MRT,1.308474,103.888825,South
MacPherson,MRT,1.326769,103.889901,East
Tai Seng,MRT,1.33594,103.887706,East
Bartley,MRT,1.342923,103.87966,East
Lorong Chuan,MRT,1.35153,103.864957,North
Marymount,MRT,1.349089,103.839116,North
Caldecott,MRT,1.337649,103.839627,North
Botanic Gardens,MRT,1.322387,103.814905,North
Farrer Road,MRT,1.317606,103.807711,West
Holland Village,MRT,1.311189,103.796119,West
one-north,MRT,1.299854,103.787584,West
Kent Ridge,MRT,1.293629,103.784441,West
Haw Par Villa,MRT,1.283149,103.781991,South
Pasir Panjang,MRT,1.276111,103.791893,South
Labrador Park,MRT,1.27218,103.802557,South
Telok Blangah,MRT,1.270769,103.809878,South
Bayfront,MRT,1.281371,103.858998,South
Bukit Panjang,MRT,1.37834,103.762452,West
Cashew,MRT,1.369997,103.764569,West
Hillview,MRT,1.363185,103.767371,West
Beauty World,MRT,1.341607,103.775682,West
King Albert Park,MRT,1.335721,103.783203,West
Sixth Avenue,MRT,1.331221,103.79718,West
Tan Kah Kee,MRT,1.325826,103.807959,West
Stevens,MRT,1.320012,103.825964,North
Rochor,MRT,1.303601,103.852581,South
Downtown,MRT,1.27949,103.852802,South
Telok Ayer,MRT,1.282285,103.848584,South
Fort Canning,MRT,1.291631,103.844621,South
Bencoolen,MRT,1.298477,103.849984,South
Jalan Besar,MRT,1.305551,103.855443,South
Bendemeer,MRT,1.313674,103.863098,South
Geylang Bahru,MRT,1.321479,103.871457,South
Mattar,MRT,1.326878,103.883304,South
Ubi,MRT,1.330008,103.898911,East
Kaki Bukit,MRT,1.335076,103.909057,East
Bedok North,MRT,1.335268,103.918054,East
Bedok Reservoir,MRT,1.336595,103.93307,East
Tampines West,MRT,1.345583,103.938244,East
Tampines East,MRT,1.35631,103.955471,East
Upper Changi,MRT,1.342218,103.961505,East
